1,18701052,1
1,18392725,4
1,18392711,1
1,18548172,5
1,18550258,2
2,18621752,1
2,18494129,2
2,18374877,4
2,37075,5
2,18397684,1
2,18541311,2
3,18669432,4
3,16508747,2
3,35217,3
3,48851,4
3,18591040,2
3,17808556,5
4,18397684,3
4,18541311,5
4,18621752,4
4,18494129,4
5,18374877,4
5,37075,3
5,18522518,5
6,18669432,3
6,16508747,2
6,35217,5
7,18550258,2
7,18669432,1
7,16508747,5
7,35217,3
7,48851,4
8,18732598,2
8,18566818,4
8,18580259,1
9,18374877,2
9,37075,3
10,18522518,2
10,18591040,3
10,17808556,2
11,35217,5
11,48851,5
12,18701052,5
12,18392725,5
12,18392711,4
12,18548172,5
13,18621752,5
13,18494129,1
13,18374877,5
13,37075,2
14,17808556,3
14,18732598,2
14,18566818,1
14,18580259,2
15,18548172,1
15,18550258,4
15,18669432,4
15,16508747,2
16,18494129,3
16,18374877,4
16,37075,1
16,18522518,5
17,18591040,1
17,17808556,3
17,18732598,4
17,18566818,1
18,18374877,3
18,37075,3
18,18522518,3
19,18494129,5
19,18374877,1
19,37075,2
20,18580259,1
20,18397684,1
20,18541311,3
21,18669432,3
21,16508747,1
21,35217,1
22,48851,3
22,18541311,4
22,18621752,3
22,18494129,1
23,18591040,1
23,17808556,1
23,18732598,5
23,18566818,4
24,18580259,1
24,18397684,5
25,18541311,1
25,18621752,3
25,18494129,4
26,18548172,2
26,18550258,2
26,18669432,1
27,16508747,4
27,35217,4
27,48851,2
27,18591040,4
28,18541311,5
28,18621752,4
28,18494129,1
28,18374877,1
28,37075,5
28,18522518,1
29,18548172,4
29,18550258,5
29,18669432,4
29,16508747,1
29,35217,4
30,48851,4
30,18591040,5
30,17808556,5
31,18566818,1
31,18580259,1
31,18397684,1
31,18541311,2
31,18621752,1
32,18494129,5
32,18374877,5
32,37075,1
32,18522518,3
32,18392711,3
33,18548172,4
33,18550258,1
33,18669432,4
33,16508747,4
34,35217,2
34,48851,3
34,18591040,4
34,17808556,1
35,18732598,2
35,18566818,1
35,18580259,2
35,18397684,3
36,18541311,2
36,18621752,2
36,18494129,3
37,18374877,5
37,18701052,1
37,18392725,4
37,18392711,5
38,18548172,5
38,18550258,3
38,18669432,5
39,16508747,3
39,18701052,5
39,18392725,2
40,18392711,4
40,18548172,1
40,18550258,4
40,18669432,4
40,16508747,5
40,35217,2
41,48851,3
41,18591040,4
41,17808556,2
41,18732598,5
41,18566818,3
42,18580259,5
42,18397684,4
42,18541311,4
42,18621752,4
42,18494129,3
43,18374877,5
43,37075,3
43,18522518,2
43,48851,5
44,18591040,2
44,17808556,1
44,18732598,5
44,18566818,3
44,18580259,4
45,18397684,2
45,18541311,2
45,18621752,3
45,18494129,4
45,18374877,2
45,37075,5
46,18522518,3
46,18580259,5
46,18397684,4
46,18541311,4
46,18621752,4
47,18494129,3
47,18374877,5
47,37075,3
47,18522518,2
47,18701052,5
48,18392725,2
48,18392711,1
48,18548172,5
48,18550258,3
48,18669432,4
49,16508747,1
49,35217,4
49,48851,1
50,18591040,5
50,17808556,2
50,18732598,1
50,18566818,2
50,18580259,4
,25,35059,3
25,35059,3
25,35059,3
25,19111754,3
25,19111754,3
